Name	Country	Sector	Industry	Desc	Departments	City	Year	Size	Url	Odsets	TW	financials
Kognitio	United Kingdom		Information & communication	Enables users to conduct open data analytics		3a Waterside Park, Cookham Road, Bracknell, Berkshire, RG12 1RB	5/5/1987		http://kognitio.com/	Enables users to conduct open data analytics
Porism	United Kingdom		Information & communication	Provide database infrastructure which facilitates the publishing and use of open data		Bon Marché Centre, 241-251 Ferndale Road, London, SW9 8BJ	11/12/1987		http://www.porism.com/	Provide database infrastructure which facilitates the publishing and use of open data
Zubed Geospatial	United Kingdom		Information & communication	Worked on the SaferMK Community Safety Mapping tool which uses crime and anti-social behaviour open data for the Milton Keynes		St Andrew's House, Caldecotte Lake Drive, Caldecotte Business Park, Milton Keynes, MK7 8LE	8/8/1988		http://www.triadgroup.plc.uk/	Worked on the SaferMK Community Safety Mapping tool which uses crime and anti-social behaviour open data for the Milton Keynes
Lockheed Martin	United Kingdom		Professional, scientific & technical	ODI Supporter		India of Inchinnan, Inchinnan, Renfrewshire, PA4 9LH	4/17/1989		http://www.lockheedmartin.co.uk/	ODI Supporter
Amey	United Kingdom		Professional, scientific & technical	ODI Supporter		Winchester House, Heatley Road, Oxford Science Park, Oxford, Oxfordshire, OX4 4GE	5/4/1989		http://www.amey.co.uk/	ODI Supporter
Openlink Group	United Kingdom		Information & communication	Provide software which facilitates the publishing of linked open data and involved in various Linked Open Data initiatives		5 Aldermanbury Square, 14th Floor, London, EC2V 7HR	2/28/1992		http://www.olf.com/	Provide software which facilitates the publishing of linked open data and involved in various Linked Open Data initiatives
Syngenta	United Kingdom		Professional, scientific & technical	ODI Supporter, promote open data, begining to publishing open data and attempting to inform industry standards around open data		30 Priestley Road, Surrey Research Park, Guildford, GU2 7YH	4/29/1992		http://www3.syngenta.com/country/uk/en/Pages/home.aspx	ODI Supporter, promote open data, begining to publishing open data and attempting to inform industry standards around open data
Informed Solutions	United Kingdom		Information & communication	ODI Supporter, promote open data		The Old Bank, Old Market Place, Altrincham, Cheshire, WA14 4PA	10/13/1992		http://www.informed.com/	ODI Supporter, promote open data
Arium	United Kingdom		Information & communication	Arium's Trade Analysis Tool uses inter-industry trading data derived from open US government data		New Broad Street House, 35 New Broad Street, London, EC2M 1NH	11/27/1992		http://arium.co.uk/	Arium's Trade Analysis Tool uses inter-industry trading data derived from open US government data
Staveley Head	United Kingdom		Finance & insurance	Developed a series of embeddable maps that plot accident rates per thousand registered vehicles in England using data from The Department of Transport		Staveley House, 77 Church Street, Connah's Quay, Flintshire, CH5 4AS	3/23/1993		http://www.staveleyhead.com/	Developed a series of embeddable maps that plot accident rates per thousand registered vehicles in England using data from The Department of Transport
CGI	United Kingdom		Information & communication	Develops data hosting portals/platforms (helped develop data.gouv.fr in France), provide consulting service around open data, promote open data		Kings Place, 90 York Way, 7th Floor, London, N1 9AG	8/9/1993		http://www.cgi-group.co.uk	Develops data hosting portals/platforms (helped develop data.gouv.fr in France), provide consulting service around open data, promote open data
Software for Data Analysis	United Kingdom		Information & communication	ODI Supporter, publishes the official school performance tables for the Department for Education		66 Lorne Road, London, E70LJ	1/17/1994		http://www.sda-ltd.com	ODI Supporter, publishes the official school performance tables for the Department for Education
Tomorrow's Guides	United Kingdom		Information & communication	CareHomeUK, a Tomorrow's Guides website, uses open datasets from the CQC, Care Commission and CSSIW Reports CareHomeUK to provide extensive information on care providers, products and services, and care fees advice		Unit 4, Station Yard, Station Road, Hungerford, RG17 0DY	1/20/1994		http://www.tomorrows.co.uk/	CareHomeUK, a Tomorrow's Guides website, uses open datasets from the CQC, Care Commission and CSSIW Reports CareHomeUK to provide extensive information on care providers, products and services, and care fees advice
NTT DATA	United Kingdom		Information & communication	ODI Sponsor: promote and research open data solutions		2 Royal Exchange, London, EC3V 3DG	7/28/1995		http://www.nttdata.com/uk	ODI Sponsor: promote and research open data solutions
BearingPoint	United Kingdom		Professional, scientific & technical	ODI Supporter: provide expertise in open architectures, open methodologies and advanced analytics		16 Great Queen Street, London, WC2B 5DG	1/2/1996		http://www.bearingpoint.com	ODI Supporter: provide expertise in open architectures, open methodologies and advanced analytics
Moneysupermarket.com	United Kingdom		Information & communication	ODI Supporter		Moneysupermarket House, St David's Park, Ewloe, Flintshire, CH5 3UZ	2/9/1996		http://www.moneysupermarket.com	ODI Supporter
TSO	United Kingdom		Professional, scientific & technical	The OpenUp linked data platform enables organisations to publish open data		St Crispins, Duke Street, Norwich, NR3 1PD	4/10/1996		http://www.tso.co.uk/	The OpenUp linked data platform enables organisations to publish open data
Amazon	United Kingdom		Business administration and support services	Uses MusicBrainz open database for their various music related offerings		60 Holborn Viaduct, London, EC1A 2BN	7/10/1996		http://www.amazon.co.uk/	Uses MusicBrainz open database for their various music related offerings
Yahoo! UK	United Kingdom		Information & communication	Uses DBpedia open data			8/30/1996		https://uk.yahoo.com/	Uses DBpedia open data
Precise	United Kingdom		Information & communication	ODI Sponsor, worked with the ODI to build live publicly available dashboard showing an organisation's impact in the media using open media data		1 Broadgate, London, EC2M 2QS	9/10/1996		http://www.precise.co.uk	ODI Sponsor, worked with the ODI to build live publicly available dashboard showing an organisation's impact in the media using open media data
DataIQ	United Kingdom		Professional, scientific & technical	Provide insights, research reports and promote open data		DQM House, Baker Street, High Wycombe, HP11 2RX	10/17/1996		http://www.dataiq.co.uk/	Provide insights, research reports and promote open data
Northern Powergrid	United Kingdom		Finance & insurance	Publish datasets on Leeds Data Mill		Manor House, Station Road, Penshaw, Houghton-le-Spring, Tyne and Wear, DH4 7LA	10/24/1996		http://www.northernpowergrid.com/	Publish datasets on Leeds Data Mill
Thomson Reuters	United Kingdom		Professional, scientific & technical	ODI Partner, published a white paper in collaboration with the ODI, written as a guide to data identifier schemes		1 Mark Square, London, EC2A 4EG	12/24/1996		http://thomsonreuters.com/	ODI Partner, published a white paper in collaboration with the ODI, written as a guide to data identifier schemes
Griffin Brown	United Kingdom		Information & communication	Offer both open source and commercially-licensed software for data publishing		Orwell House, Cowley Road, Cambridge, CB4 0PP	1/2/1997		http://www.griffinbrown.co.uk/welcome.asp	Offer both open source and commercially-licensed software for data publishing
BRE	United Kingdom		Professional, scientific & technical	ODI Supporter, publish some data on and about the built environment, see Cardington fire test data		Bucknalls Lane, Watford, WD25 9XX	2/17/1997		http://www.bre.co.uk/	ODI Supporter, publish some data on and about the built environment, see Cardington fire test data
The Boffin Lab	United Kingdom		Information & communication	Worked with XYZ Maps to create Postcode Atlas app which uses open geospatial data on statistical regions from ONS		Audley House, Northbridge Road, Berkhamsted, Herts HP4 1EH	6/17/1997		http://www.theboffinlab.com/	Worked with XYZ Maps to create Postcode Atlas app which uses open geospatial data on statistical regions from ONS
Geowise	United Kingdom		Information & communication	Facilitates open data publication		Holyrood Park House, 106 Holyrood Road, Edinburgh, EH8 8AS	7/11/1997		http://www.instantatlas.com/	Facilitates open data publication
CoreFilling	United Kingdom		Information & communication	ODI Supporter: users can explore the Companies House XBRL database open data		Osney Mead House, Osney Mead, Oxford, OX2 0FA	7/31/1997		http://www.corefiling.com/	ODI Supporter: users can explore the Companies House XBRL database open data
The Local Government Association	United Kingdom		Business administration and support services	Uses open data as the basis of a lot of reports, provides advice and support on publishing open data to local government including encouraging standardised practices through adoption of schema and URIs, publishes information on legal powers and duties of all local councils as open data		Local Government House, Smith Square, London, SW1P 3HZ	12/22/1997		http://www.local.gov.uk/	Uses open data as the basis of a lot of reports, provides advice and support on publishing open data to local government including encouraging standardised practices through adoption of schema and URIs, publishes information on legal powers and duties of all local councils as open data
Integrated Transport Planning	United Kingdom		Professional, scientific & technical	Uses open transport data for a use open transport data for a range of sustainably-focused transport projects and applications around the globe		50 North Thirteenth Street, Milton Keynes, MK9 3BP	12/24/1997		http://www.itpworld.net/	Uses open transport data for a use open transport data for a range of sustainably-focused transport projects and applications around the globe
Multizone	United Kingdom		Information & communication	Created several mobile apps based on open policing data			2/4/1998		http://www.multizone.co.uk/	Created several mobile apps based on open policing data
Sirius	United Kingdom		Information & communication	ODI Supporter, works with the Cabinet Office Government Digital Service (GDS) on their 'Digital by Default' strategy including work on their open data strategy		Rivermead House, Hamm Moor Lane, Weybridge, Surrey, KT152SF	9/17/1998		http://www.siriusopensource.com/	ODI Supporter, works with the Cabinet Office Government Digital Service (GDS) on their 'Digital by Default' strategy including work on their open data strategy
BioMed Central	United Kingdom		Information & communication	Journals (including those of related companies SpringerOpen and ChemistryCentral) are open access, specifically important is Giga Science Journal is an online open-access open-data journal, which also openly publishes all related data in GigaDB		Floor 6, 236 Gray's Inn Road, London, WC1X 8HB	12/8/1998		http://www.biomedcentral.com/	Journals (including those of related companies SpringerOpen and ChemistryCentral) are open access, specifically important is Giga Science Journal is an online open-access open-data journal, which also openly publishes all related data in GigaDB
bbits	United Kingdom		Information & communication	Developed Love Clean Streets (and Mediaklik system behind it) which allows reporting of enivironmental issues and displays this data to all		14 Hanover Street, Hanover Square, London, W1S 1YH	1/21/1999		http://www.bbits.co.uk/	Developed Love Clean Streets (and Mediaklik system behind it) which allows reporting of enivironmental issues and displays this data to all
Yorkshire Water	United Kingdom		Professional, scientific & technical	Publishes datasets on Leeds Data Mill		Western House, Western Way, Bradford, BD6 2LZ	5/27/1999		http://www.yorkshirewater.com/	Publishes datasets on Leeds Data Mill
Paradex	United Kingdom		Information & communication	London Traffic LIVE uses TfL traffic feeds		Paradex Studios, London, W1T 6PU	6/10/1999		http://paradex.co.uk/index.php	London Traffic LIVE uses TfL traffic feeds
Zizo	United Kingdom		Information & communication	ODI Supporter		8 Douglas House, 32-34 Simpson Road, Fenny Stratford, Milton Keynes, MK1 1BA	6/22/1999		http://zizo.co.uk/	ODI Supporter
Traveline	United Kingdom		Information & communication	Publishes open data on public transport		Drury House, 34-43 Russell Street, London, WC2B 5HA	8/17/1999		http://www.traveline.info/	Publishes open data on public transport
Datactics	United Kingdom		Information & communication	ODI Supporter, Won NI open data challenge using NI tourism data		Innovation Centre, Queens Road, Belfast, BT3 9DT	9/23/1999		http://www.datactics.com	ODI Supporter, Won NI open data challenge using NI tourism data
Dialogue by Design	United Kingdom		Professional, scientific & technical	ODI Supporter, promote open data and provide open data consultancy services		252B Gray's Inn Road, London, WC1X 8XG	10/11/1999		http://www.dialoguebydesign.net/	ODI Supporter, promote open data and provide open data consultancy services
Boilerhouse	United Kingdom		Retail	Provide visualisations for Birmingham city council open data project and build "open data demonstrator" for Lambeth city council		Walker Building, 58 Oxford Street, Birmingham, B5 5NR	10/26/1999		http://www.boilerhouse.co.uk/	Provide visualisations for Birmingham city council open data project and build "open data demonstrator" for Lambeth city council
Knowledge Integration	United Kingdom		Information & communication	Produced Culture Grid with Collections Trust which uses open data on library locations and other open data sources		35 Paradise Street, Sheffield, S3 8PZ	11/16/1999		http://www.k-int.com/home	Produced Culture Grid with Collections Trust which uses open data on library locations and other open data sources
Manchester Evening News	United Kingdom		Information & communication	Used, enhanced and published open data on poll station locations from Trafford Council to publicise the local elections		Mitchell Henry House, Hollinwood Avenue, Chadderton, Oldham, OL9 8EF	12/3/1999		http://www.manchestereveningnews.co.uk/	Used, enhanced and published open data on poll station locations from Trafford Council to publicise the local elections
Rackspace	United Kingdom		Information & communication	ODI Sponsor		5 Millington Road, Hyde Park Hayes, Hayes, Middlesex, UB3 4AZ	12/20/1999		http://www.rackspace.co.uk/	ODI Sponsor
emapsite	United Kingdom		Information & communication	ODI Supporter, Uses open geospatial and environmental data in services		MASDAR House, No. 1 Reading Road, Eversley, Hants. RG27 0RP	2/23/2000		http://www.emapsite.com/mapshop/	ODI Supporter, Uses open geospatial and environmental data in services
Creotec	United Kingdom		Information & communication	Web applications under ebusinessconsultant banner use open data		10 Milbanke Court. Milbanke Way, Bracknell, Berkshire, RG12 1RP	2/29/2000		http://www.creotec.com/index.php	Web applications under ebusinessconsultant banner use open data
7digital	United Kingdom		Professional, scientific & technical	Uses MusicBrainz open database for their digital content platform to provide consumers, partners and developers with open access to an extensive international catalogue of high quality digital content		69 Wilson Street, London, EC2A 2BB	3/28/2000		https://www.7digital.com/	Uses MusicBrainz open database for their digital content platform to provide consumers, partners and developers with open access to an extensive international catalogue of high quality digital content
Google	United Kingdom		Business administration and support services	Makes some open data available through Public Data Explorer; Google Maps also contains PSI licensed under OGL: https://www.google.com/intl/en_uk/help/legalnotices_maps.html		Belgrave House, 76 Buckingham Palace Road, London, SW1W 9TQ	4/20/2000		http://www.google.com	Makes some open data available through Public Data Explorer; Google Maps also contains PSI licensed under OGL: https://www.google.com/intl/en_uk/help/legalnotices_maps.html
White October	United Kingdom		Information & communication	ODI Supporter		3 The Gallery, 54 Marston Street, Oxford, OX4 1LF	4/28/2000		http://www.whiteoctober.co.uk/	ODI Supporter
The Association of Convenience Stores	United Kingdom		Arts, entertainment, recreation and other services	ODI Supporter			5/8/2000		http://www.acs.org.uk/	ODI Supporter
eXparity	United Kingdom		Information & communication	Several projects geocode open data sources, e.g. Schools on a Map website uses open ofsted data		Rotherfield Manor, Beacon Road, Crowborough, East Sussex, TN6 1UQ	5/17/2000		http://www.exparity.com/	Several projects geocode open data sources, e.g. Schools on a Map website uses open ofsted data
Public-i	United Kingdom		Information & communication	ODI Supporter		5th Floor, Sheridan House, 112-116 Western Road, Hove, East Sussex, BN3 1DD	5/22/2000		http://www.public-i.info/	ODI Supporter
ASOS	United Kingdom		Professional, scientific & technical	Opened up its product and services data to external web developers in Dec 2011		Greater London House, Hampstead Road, London, NW1 7FB	6/2/2000		http://www.asos.com/	Opened up its product and services data to external web developers in Dec 2011
ThoughtWorks	United Kingdom		Information & communication	Organises hacks focused on open government data to create new tools and applications		9th Floor Berkshire House, 168-173 High Holborn, London, WC1V 7AA	10/17/2000		http://www.thoughtworks.com/	Organises hacks focused on open government data to create new tools and applications
EY	United Kingdom			Hosted TechCamp in London, promote open data and conduct research		1 More London Place, London, SE1 2AF	4/6/2001		http://www.ey.com/UK/en/Home	Hosted TechCamp in London, promote open data and conduct research
eSynergy Solutions	United Kingdom		Business administration and support services	ODI Supporter, hosts and attends a number of related events and meet ups within the open data community		50 Fenchurch Street, London, EC3M 3JY	6/15/2001		http://www.esynergy-solutions.co.uk/	ODI Supporter, hosts and attends a number of related events and meet ups within the open data community
Alpine Interactive	United Kingdom		Arts, entertainment, recreation and other services	Developing products for exploiting COINS database of open government spending data		22 Old Queen St, London, SW1H 9HP	8/3/2001		http://www.alpineinteractive.co.uk/	Developing products for exploiting COINS database of open government spending data
Snowflake Software	United Kingdom		Information & communication	Use open transport data and provide infrastructure for publishing open data		Alleyn House, 23-27 Carlton Crescent, Southampton, Hampshire, SO15 2EU	9/26/2001		http://www.snowflakesoftware.com/	Use open transport data and provide infrastructure for publishing open data
Tesobe	United Kingdom		Information & communication	ODI Startup, the Open Bank Project makes it easier for banks and account holders to open transaction data if they wish to do so			1/11/2002		http://tesobe.com/	ODI Startup, the Open Bank Project makes it easier for banks and account holders to open transaction data if they wish to do so
KPMG	United Kingdom			Promotes and researches open data, cosponsored an import.io hackathon with the ODI		15 Canada Square, London, E14 5GL	2/22/2002		http://www.kpmg.com	Promotes and researches open data, cosponsored an import.io hackathon with the ODI
1060 Research	United Kingdom		Information & communication	Provides infrastructure for managing linked open data, uses EU linked open data projects		23 Horse Street, Chipping Sodbury, Bristol, BS37 6DA	9/25/2002		http://1060research.com/	Provides infrastructure for managing linked open data, uses EU linked open data projects
Rockshore	United Kingdom		Information & communication	Uses real-time open transport data, promote the use of open rail data, sponsors open train times		50-54 Putney High Street, London, SW15 1SQ	10/16/2002		http://rockshore.net/about/	Uses real-time open transport data, promote the use of open rail data, sponsors open train times
Last.fm	United Kingdom		Information & communication	Uses MusicBrainz open database to provide detailed information about music artists		5-11 Lavington Street, London, SE1 0NZ	10/22/2002		http://www.last.fm/	Uses MusicBrainz open database to provide detailed information about music artists
Harvey Walsh	United Kingdom		Information & communication	Uses open NHS data		Regatta House, 67-71 High Street, Marlow, SL7 1AB	10/29/2002		http://www.harveywalsh.co.uk/	Uses open NHS data
PwC	United Kingdom			Promote open data, research open data, provided evaluations of projects for Open Data Challenge Series		1 Embankment Place, London, WC2N 6RH	12/9/2002		http://www.pwc.co.uk/	Promote open data, research open data, provided evaluations of projects for Open Data Challenge Series
Deloitte	United Kingdom			Former ODI Partner: promotes and carries out research on open data		The Pinnacle, 150 Midsummer Boulevard, Milton Keynes, MK9 1FD	1/10/2003		http://www.deloitte.com/view/en_GB/uk/index.htm	Former ODI Partner: promotes and carries out research on open data
Transactis	United Kingdom		Information & communication	ODI Supporter		Shearwater House, 21 The Green, Richmond-Upon-Thames, London, TW9 1PX	3/13/2003		http://www.transactis.co.uk	ODI Supporter
Systems in Context	United Kingdom		Professional, scientific & technical	ODI Supporter, advocacy to promote information democracy and citizen-based governance		25 Woodlands, Winthorpe, Newark, Nottinghamshire, NG24 2NL	3/18/2003		http://www.systemsincontext.co.uk/	ODI Supporter, advocacy to promote information democracy and citizen-based governance
theblueballroom	United Kingdom		Business administration and support services	ODI Supporter		B1 Endeavour Place, Coxbridge Business Park, Farnham, GU10 5EH	4/4/2003		http://www.theblueballroom.com/	ODI Supporter
OCSI	United Kingdom		Information & communication	ODI Supporter: some OCSI apps use open data (e.g. Numberhood uses data.gov data)		Brighton Junction, 1a Isetta Square, 5 New England Street, Brighton, BN1 4GQ	6/17/2003		http://www.ocsi.co.uk	ODI Supporter: some OCSI apps use open data (e.g. Numberhood uses data.gov data)
Interkonect Services	United Kingdom		Professional, scientific & technical	NottsInfoScript project used local government open data		Unit 5c, The Old Knows Factory, Nottingham, Nottinghamshire, NG3 4GP	6/25/2003		http://interkonect.com/	NottsInfoScript project used local government open data
Flexeye	United Kingdom		Information & communication	Part of EyeHub which is an ODI Member		Hays House, Millmead, Guildford, Surrey, GU2 4HJ	7/31/2003		http://www.flexeye.com/	Part of EyeHub which is an ODI Member
Spikes Cavell	United Kingdom		Information & communication	Uses open national and local government data		1 Northbrook Place, Newbury, Berkshire, RG14 1DQ	10/1/2003		http://www.spikescavell.com	Uses open national and local government data
One Bright Space	United Kingdom		Information & communication	Created iCoast for Dorset County Council which uses open government data		31 Bridge Street, Aberystwyth, Ceredigion, SY23 1QB	1/27/2004		http://www.onebrightspace.com/	Created iCoast for Dorset County Council which uses open government data
Apogee Data Consulting	United Kingdom		Information & communication	Provides value-added services on top of open Ordnance Survey data		The Old Bakery, Appledore Road, Tenterden, TN30 7DF	4/27/2004		http://www.apogeedata.co.uk/	Provides value-added services on top of open Ordnance Survey data
i-genius	United Kingdom		Education	Web-COSI project (which i-genius is a partner in) uses and advocates open statistics data		10 Colthurst Crescent, London, N4 2DS	5/5/2004		http://www.i-genius.org/	Web-COSI project (which i-genius is a partner in) uses and advocates open statistics data
The Open Knowledge Foundation	United Kingdom		Arts, entertainment, recreation and other services	Provide infrastructure with the CKAN data portal platform, promote open data, provide training, undertake a wide range of open data projects		St John’s Innovation Centre, Cowley Road, Cambridge, CB4 0WS	5/20/2004		https://okfn.org/	Provide infrastructure with the CKAN data portal platform, promote open data, provide training, undertake a wide range of open data projects
Seme4	United Kingdom		Information & communication	Worked with Hampshire Council Hampshire using CSV files provided by the Council, and geospatial Shapefiles from a variety of sources, to link the data with other sources, such as data.gov.uk, and produce the services and visualisations available on the Seme4 platform			6/7/2004		http://www.seme4.com/	Worked with Hampshire Council Hampshire using CSV files provided by the Council, and geospatial Shapefiles from a variety of sources, to link the data with other sources, such as data.gov.uk, and produce the services and visualisations available on the Seme4 platform
DigIn	United Kingdom		Information & communication	ODI Supporter		6 Caxton House, Broad Street, Great Cambourne, Cambridge, CB23 6JN	6/10/2004		http://www.digin.co	ODI Supporter
Landmark Analytics	United Kingdom		Information & communication	Uses various open property data sources (specifically Land Registry)			6/17/2004		http://www.landmarkanalytics.co.uk/	Uses various open property data sources (specifically Land Registry)
Delib	United Kingdom		Information & communication	Promote open data, embarked on I Heart My City project aimed at using various Bristol city open datasets		35 King Street, Bristol, BS1 4DZ	6/21/2004		http://www.delib.net/	Promote open data, embarked on I Heart My City project aimed at using various Bristol city open datasets
Zopa	United Kingdom		Finance & insurance	Published open data as part of the peer to peer lending project		6th Floor, 90 Fetter Lane, London, EC4A 1EN	8/4/2004		http://www.zopa.com/	Published open data as part of the peer to peer lending project
FairSay	United Kingdom		Information & communication	Promote the use of open data in eCampaigning - see Exploring Open Data for Campaigning		c/o The Hub, 5 Torrens St., London, EC1V 1NQ	9/29/2004		http://fairsay.com/	Promote the use of open data in eCampaigning - see Exploring Open Data for Campaigning
Model Futures	United Kingdom		Information & communication	ODI Supporter			10/1/2004		http://www.modelfutures.com/	ODI Supporter
Patient Opinion	United Kingdom		Health	Views its patient feedback as as a public resource which can and should be re-used for wider public benefit, so is licensed for re-use under a Creative Commons licence		SCEDU, 53 Mowbray St, Sheffield, S3 8EN	1/11/2005		https://www.patientopinion.org.uk/	Views its patient feedback as as a public resource which can and should be re-used for wider public benefit, so is licensed for re-use under a Creative Commons licence
Transparency Data	United Kingdom		Information & communication	Scores on the Doors uses open hygiene inspection data		2 The Square, Long Crendon, Aylesbury, HP18 9AA	1/13/2005		http://www.transparencydata.co.uk/about-the-service.php	Scores on the Doors uses open hygiene inspection data
Mobile Pie	United Kingdom		Information & communication	Designed Blossom Bristol game which uses open data from Bristol City Council		First Floor, Lewins House Lewin's Mead, Bristol, BS1 2NN	9/7/2005		http://www.mobilepie.com/	Designed Blossom Bristol game which uses open data from Bristol City Council
Open Rights Group	United Kingdom		Arts, entertainment, recreation and other services	Advocates and lobbys for open data publication by government		Langdale House, 11 Marshalsea Road, London, SE1 1EN	10/3/2005		https://www.openrightsgroup.org/	Advocates and lobbys for open data publication by government
21c Consultancy	United Kingdom		Professional, scientific & technical	Member of the consortium delivering Citadel on the Move (an EU project aimed at facilitating the creation of mobile applications using european open data)		136 Lancaster Road, Notting Hill, London, W11 1QU	10/5/2005		http://www.21cconsultancy.com/	Member of the consortium delivering Citadel on the Move (an EU project aimed at facilitating the creation of mobile applications using european open data)
OpenCharities	United Kingdom		Information & communication	Publish UK Register of Charities in an open format			12/7/2005		http://opencharities.org/	Publish UK Register of Charities in an open format
Visceral Business	United Kingdom		Professional, scientific & technical	ODI Supporter, promote open data and carry out research on the effects of open data			12/16/2005		http://www.visceralbusiness.com/	ODI Supporter, promote open data and carry out research on the effects of open data
AIMES Grid Services	United Kingdom		Information & communication	ODI Supporter: uses TransportAPI in iTRACs project		Liverpool Digital Enterprise Centre, 2nd Floor, Baird House, Liverpool Innovation Park, Liverpool, L7 9NJ	12/19/2005		http://www.aimesgridservices.com/	ODI Supporter: uses TransportAPI in iTRACs project
Lokku	United Kingdom		Business administration and support services	ODI Supporter: provides data feeds of OpenStreetMap		Unit 1, 82 Clerkenwell Road, London, EC1M 5RF	2/16/2006		http://www.lokku.com/	ODI Supporter: provides data feeds of OpenStreetMap
DataSalon	United Kingdom		Information & communication	Publish OrgRef dataset containing details of academic and research institutions under CC-BY-SA license		16 Woodcroft, Kennington, Oxford, OX1 5NH	2/28/2006		http://www.datasalon.com/web/index.htm	Publish OrgRef dataset containing details of academic and research institutions under CC-BY-SA license
IMAGES&Co	United Kingdom		Information & communication	ODI Supporter		6 St George's Circus, London, SE1 6LE	3/1/2006		http://images.co.uk	ODI Supporter
Niche Solutions	United Kingdom		Information & communication	Uses open transport data			3/1/2006		http://www.busmate.co.uk	Uses open transport data
ITO World	United Kingdom		Information & communication	Aggregate open transport data, provide consultancy services around the use and publishing open data		2nd Floor, 25 Lower Brook Street, Ipswich, IP4 1AQ	3/23/2006		http://www.itoworld.com	Aggregate open transport data, provide consultancy services around the use and publishing open data
Ventutec	United Kingdom		Information & communication	Crime Finder uses open crime incidents data		Independence House, Queen Street, Worcester, WR1 2PL	4/11/2006		http://www.ventutec.com/	Crime Finder uses open crime incidents data
The Democratic Society	United Kingdom		Arts, entertainment, recreation and other services	Promotes open data as part of open government		39-42 East St, Brighton, BN1 1HL	4/19/2006		http://www.demsoc.org/	Promotes open data as part of open government
mySociety	United Kingdom		Information & communication	Uses open data in several of its supported projects		483 Green Lanes, London, N13 4BS	4/27/2006		https://www.mysociety.org/	Uses open data in several of its supported projects
Aimia	United Kingdom		Professional, scientific & technical	Sponsored and facilitated London DataDive		80 Strand, London, WC2R 0NN	5/18/2006		http://www.aimia.com/en.html	Sponsored and facilitated London DataDive
FutureEverything	United Kingdom		Arts, entertainment, recreation and other services	ODI Node: runs the Open Data Cities innovation lab and partner in DataGM		Unit 54, Greenheys, Manchester Science Park, Pencroft Way, Manchester, M15 6JJ	5/19/2006		http://futureeverything.org/	ODI Node: runs the Open Data Cities innovation lab and partner in DataGM
Shoothill	United Kingdom		Information & communication	FloodAlerts and GaugeMap uses open Environment Agency data		Knights Court, Archers Way, Battlefield Enterprise Park, Shrewsbury, Shropshire, SY1 3GA	7/24/2006		http://www.shoothill.com/	FloodAlerts and GaugeMap uses open Environment Agency data
OpenStreetMap Foundation	United Kingdom		Information & communication	Publishes open geographic data			8/22/2006		http://www.openstreetmap.org/	Publishes open geographic data
Skuwizz	United Kingdom		Professional, scientific & technical	Use open ONS data to inform products, previous demonstration tool used open parliamentary data		3 Manor Courtyard, Hughenden Road, High Wycombe, Buckinghamshire, HP13 5RE	8/25/2006		http://www.skuwizz.com/	Use open ONS data to inform products, previous demonstration tool used open parliamentary data
Broadsight	United Kingdom		Professional, scientific & technical	Promote open data, explore the potential for open data through research and presentations			10/24/2006		http://www.broadsight.com/	Promote open data, explore the potential for open data through research and presentations
Footweb	United Kingdom		Professional, scientific & technical	UK Trade Analysis uses open importer data to provide			2/1/2007		http://www.footweb.co.uk/	UK Trade Analysis uses open importer data to provide
MarkLogic	United Kingdom		Information & communication	ODI Supporter, supports TSO’s (The Stationery Office) drive to enable public sector customers to publish open data using an XML repository to host, publish, repurpose, and deliver content		60 Cannon Street, London, EC4N 6NP	2/2/2007		http://www.marklogic.com/	ODI Supporter, supports TSO’s (The Stationery Office) drive to enable public sector customers to publish open data using an XML repository to host, publish, repurpose, and deliver content
Taxfix.co.uk	United Kingdom		Professional, scientific & technical	Provides a UK tax calculator based on open government tax data			3/12/2007		http://taxfix.co.uk/tax-refund.html	Provides a UK tax calculator based on open government tax data
Mydex	United Kingdom		Information & communication	ODI Supporter, exploring the relationship between open data and midata through research and policy consulting		Great Wheelers Farm, Rickmansworth, Hertfordshire, WD3 6BJ	3/28/2007		http://mydex.org	ODI Supporter, exploring the relationship between open data and midata through research and policy consulting
EvoEnergy	United Kingdom		Construction	Created interactive visualisation using open energy consumption statistics		27 Eldon Business Park, Nottingham, Nottinghamshire, NG9 6DZ	5/25/2007		http://www.evoenergy.co.uk/	Created interactive visualisation using open energy consumption statistics
The Server Labs	United Kingdom		Information & communication	ODI Supporter		Regent's Place, 338 Euston Road, London, NW1 3BT	5/30/2007		http://www.theserverlabs.com/	ODI Supporter
Songkick	United Kingdom		Information & communication	Uses MusicBrainz data for their event-related services		12-18 Hoxton Street, London, N1 6NG	5/31/2007		http://www.songkick.com/	Uses MusicBrainz data for their event-related services
F!ND	United Kingdom		Information & communication	Publish sketchmap.com which aggregates open OS, OSM and other mapping data		The Top Floor, 222 Borough High Street, London, SE1 1JX	7/2/2007		http://www.findmaps.co.uk/index.htm	Publish sketchmap.com which aggregates open OS, OSM and other mapping data
MIME Consulting	United Kingdom		Information & communication	ODI Supporter: Uses open education and skills data for Skills Route project		Office 13, 64 Wingate Square, Clapham Common, London, SW4 0AF	7/9/2007		http://www.mimeconsulting.co.uk/	ODI Supporter: Uses open education and skills data for Skills Route project
Infonomics	United Kingdom		Information & communication	Use a wide range of open data, primarily statistical (e.g. ONS), Promote open data			8/31/2007		http://infonomics.ltd.uk/	Use a wide range of open data, primarily statistical (e.g. ONS), Promote open data
